BDPID,NATID,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM
12,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
13,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
14,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
15,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
18,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
19,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
20,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
21,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
22,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
23,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
24,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
25,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
26,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
27,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
28,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
29,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
30,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
31,32,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
2,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
3,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
4,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
5,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
6,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
7,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
8,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
9,33,0,DB_SLS1220,08.09.2023,08:26:28,DB_SLS1220,08.09.2023,08:26:28
10,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
11,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
12,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
13,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
14,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
18,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
19,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
20,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
22,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
23,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
24,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
25,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
29,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
30,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
31,33,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
1,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
2,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
3,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
4,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
5,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
6,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
7,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
8,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
10,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
11,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
12,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
13,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
14,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
15,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
17,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
18,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
19,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
20,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
21,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
22,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
23,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
24,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
25,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
28,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
29,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
30,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
31,34,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
1,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
2,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
3,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
4,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
5,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
6,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
7,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
8,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
9,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
10,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
11,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
12,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
13,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
14,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
15,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
17,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
18,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
19,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
20,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
21,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
22,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
23,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
24,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
25,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
26,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
27,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
28,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
29,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
30,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
31,35,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
2,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
3,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
4,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
5,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
6,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
7,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
8,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
9,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
10,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
10,36,1,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
11,36,0,DB_SLS1220,08.09.2023,08:26:29,DB_SLS1220,08.09.2023,08:26:29
