LABTY,LABTY_OLD,LABTX,AFLAG,LABIE,LABIV,LABIM,RL1IE,RL2IE,RL3IE,RL4IE,RL5IE,RL1IV,RL2IV,RL3IV,RL4IV,RL5IV,DBPTL,DPATH_OLD,UPATH,HTXIV,HLPTX,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM,MAXLT,PLCHD,UNQID,DBPCL
NEARMISS_TITLE1_LABEL1,typeofnearmiss,Type Of Near Miss,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB1,INC_T_NRMIS_NRMTP,/NearMissDetails/T1LB1,1,,0,S0025570616,07.02.2025,12:57:28,,,,50,Maximum character limit is 50,1,
NEARMISS_TITLE1_LABEL2,potentialnearmiss,Potential Near Miss,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB2,NRMPT,/NearMissDetails/T1LB2,1,,0,S0025570616,07.02.2025,12:58:25,,,,50,Maximum character limit is 50,2,
NEARMISS_TITLE1_LABEL3,NERMS_CUSTOM1,Custom1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB3,CSTM1,/NearMissDetails/T1LB3,1,,0,S0025570616,07.02.2025,12:59:01,,,,50,Maximum character limit is 50,3,
NEARMISS_TITLE1_LABEL4,NERMS_CUSTOM2,Custom2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB4,CSTM2,/NearMissDetails/T1LB4,1,,0,S0025570616,07.02.2025,13:00:24,,,,50,Maximum character limit is 50,4,
NEARMISS_TITLE1_LABEL5,nearmissdescription,Near Miss Description,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB5,NEADS,/NearMissDetails/T1LB5,1,,0,S0025570616,07.02.2025,13:01:04,,,,50,Maximum character limit is 50,5,
NEARMISS_TITLE1_LABEL6,hownearmissavoided,How Near Miss can be avoided,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB6,NMAVD,/NearMissDetails/T1LB6,1,,0,S0025570616,07.02.2025,13:01:38,,,,50,Maximum character limit is 50,6,
NEARMISS_TITLE1_LABEL7,immediateactiontoprevent,Immediate action to prevent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB7,IMMAC,/NearMissDetails/T1LB7,1,,0,S0025570616,07.02.2025,13:02:11,,,,50,Maximum character limit is 50,7,
NEARMISS_TITLE1_LABEL8,NERMS_CUSTOM3,Custom 3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB8,CSTM3,/NearMissDetails/T1LB8,1,,0,S0025570616,07.02.2025,13:02:45,,,,50,Maximum character limit is 50,8,
INCPR_NEARMISS_TITLE1,INCPR_nearmissdetail,Near Miss Details,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,9,
INCPR_NEARMISS_TITLE1_LABEL1,INCPR_typeofnearmiss,Type Of Near Miss,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB1,INC_T_NRMIS_NRMTP,/NearMissDetails/T1LB1,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,10,
INCPR_NEARMISS_TITLE1_LABEL2,INCPR_potentialnearmiss,Potential Near Miss,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB2,NRMPT,/NearMissDetails/T1LB2,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,11,
