UNQID,TYVAL,TXVAL,COLID,TXDES,MODTY,ISDBL,ISEDT,ISADD,ISEMP,ISSFT,ISMGR,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM,INCTY
1,Incident Type,Near Miss,1,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
2,Incident Type,Workplace Injury / Illness,2,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
3,Incident Type,Ergonomics,3,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
4,Incident Type,Motor Vehicle Incident,4,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
5,Incident Type,Workplace Harassment and Violence,5,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
6,Incident Type,Property - Equipment Damage,6,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
7,Incident Type,Exposure to Hazardous Materials,7,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
8,Incident Type,Fire/Explosion,8,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
9,Incident Type,Environmental Emergencies,9,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
10,Incident Type,Other,10,Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,12.03.2025,09:39:48,
11,Operator Type,Company Employee,1,Operator Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
12,Operator Type,Non Company Employee,2,Operator Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
13,Operator Type,Other,3,Operator Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
14,Vehicle Speed,High,1,Vehicle Speed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
15,Vehicle Speed,Medium ,2,Vehicle Speed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
16,Vehicle Speed,Low,3,Vehicle Speed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
17,Vehicle Incident Type,Accident with Bodily Injury,1,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
18,Vehicle Incident Type,Accident with Property Damage,2,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
19,Vehicle Incident Type,Accident with Vehicle Damage,3,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
20,Vehicle Incident Type,Field City,4,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
21,Vehicle Incident Type,Hit and Run,5,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
